"Kind","Line","Property","Fallback","Code"
"GetPropertyValueWithDefault","13451","ShowInnerDial","false","if (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowInnerDial"", defaultValue: false) || drawingContextTypeDependingOnCompatibilityMode != DrawingContextType.ExtendedDrawingRenderer)"
"GetPropertyValueWithDefault","13825","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","13845","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","13859","UseTransparentColor","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseTransparentColor"", defaultValue: true);"
"GetPropertyValueWithDefault","13873","UseDesignColorSchema","true","if ((!hmiScreenItem.IsSCADARuntime() || !HmiScreenItem.IsThemingEnabled(hmiScreenItem) || !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true)) && (FillStyle)((IPropertyAccess)hmiScreenItem.InstanceProxy)[""BackFillStyle""] != FillStyle.Solid)"
"GetPropertyValueWithDefault","13920","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","13931","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","14407","UseTransparentColor","false","if (!((!HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseTransparentColor"", defaultValue: false) && (graphicIOFieldType == GraphicIOFieldType.Output || graphicIOFieldType == GraphicIOFieldType.InOutput || graphicIOFieldType == GraphicIOFieldType.Input)) || flag))"
"GetPropertyValueWithDefault","14456","PictureList","HmiObjectHandle.Empty","HmiObjectHandle propertyValueWithDefault = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""PictureList"", HmiObjectHandle.Empty);"
"GetPropertyValueWithDefault","14472","Flashing","FlashingType.None","if ((graphicIOFieldType != GraphicIOFieldType.Output && graphicIOFieldType != GraphicIOFieldType.InOutput && graphicIOFieldType != GraphicIOFieldType.Input) || ((AutoSizingType)((IPropertyAccess)hmiScreenItem.InstanceProxy)[""AutoSizing""] != AutoSizingType.StretchPicture && HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Flashing"", FlashingType.None) == FlashingType.None))"
"GetPropertyValueWithDefault","14483","FlashingOnLimitViolation","false","if ((!HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""FlashingOnLimitViolation"", defaultValue: false) || (graphicIOFieldType != GraphicIOFieldType.Output && graphicIOFieldType != GraphicIOFieldType.InOutput && graphicIOFieldType != GraphicIOFieldType.Input)) && !(hmiScreenItem.IsModuleDevice() && flag))"
"GetPropertyValueWithDefault","14644","Flashing","FlashingType.None","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Flashing"", FlashingType.None) != FlashingType.Advanced;"
"GetPropertyValueWithDefault","14649","Flashing","FlashingType.None","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Flashing"", FlashingType.None) != FlashingType.Advanced;"
"GetPropertyValueWithDefault","14654","Flashing","FlashingType.None","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Flashing"", FlashingType.None) != FlashingType.Advanced;"
"GetPropertyValueWithDefault","14659","Flashing","FlashingType.None","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Flashing"", FlashingType.None) != FlashingType.Advanced;"
"GetPropertyValueWithDefault","14666","DrawInsideFrame","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""DrawInsideFrame"", defaultValue: true);"
"GetPropertyValueWithDefault","20447","UseDesignColorSchema","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","20517","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","20528","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","20537","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","20554","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","20571","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","20580","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","20804","FlashingOnLimitViolation","false","bool propertyValueWithDefault = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""FlashingOnLimitViolation"", defaultValue: false);"
"GetPropertyValueWithDefault","20805","Flashing","FlashingType.None","if (!(!hmiScreenItem.IsSCADARuntime() && HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Flashing"", FlashingType.None) == FlashingType.None && propertyValueWithDefault))"
"GetPropertyValueWithDefault","20917","UseDesignColorSchema","true","if ((drawingContextType == DrawingContextType.ThemingDrawingRenderer || drawingContextType == DrawingContextType.ComplexDrawingRenderer) && HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true))"
"GetPropertyValueWithDefault","20939","UseDesignColorSchema","true","if ((drawingContextType != DrawingContextType.ComplexDrawingRenderer && drawingContextType != DrawingContextType.ThemingDrawingRenderer) || ((flag3 || (int)((IPropertyAccess)hmiScreenItem.InstanceProxy)[""LineWidth""] <= 1) && (!flag3 || !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true))))"
"GetPropertyValueWithDefault","21308","UseDesignColorSchema","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","21646","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","21661","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","21676","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","22521","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","22530","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","22539","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","22558","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","22575","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","22664","UseDesignColorSchema","true","if ((drawingContextType == DrawingContextType.ThemingDrawingRenderer || drawingContextType == DrawingContextType.ComplexDrawingRenderer) && HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true))"
"GetPropertyValueWithDefault","22686","UseDesignColorSchema","true","if ((!HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true) || !flag3 || (drawingContextType != DrawingContextType.ThemingDrawingRenderer && drawingContextType != DrawingContextType.ComplexDrawingRenderer)) && (flag3 || (int)((IPropertyAccess)hmiScreenItem.InstanceProxy)[""LineWidth""] <= 1 || (drawingContextType != DrawingContextType.ThemingDrawingRenderer && drawingContextType != DrawingContextType.ComplexDrawingRenderer)))"
